,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Value
528,Turkiye,Middle East,2012,13.6,15.8,111.4545,1.47,97,65,27.6,97,97,0.08,9587,74.65,4.9,4.7,7.5,0,1,75.4,80.6851
529,Jamaica,Central America and Caribbean,2013,14.2,16.5,134.4545,3.16,93,71,27.4,86,93,0.54,4884,2.86,1.8,1.7,9.4,0,1,74.0,34.014202
530,Moldova,Rest of Europe,2014,13.7,16.0,172.978,7.4,92,92,26.9,92,90,0.36,2720,2.86,2.7,2.8,11.6,0,1,71.3,137.42331
531,Belgium,European Union,2014,3.3,4.1,72.379,10.57,98,85,26.1,99,99,0.08,40421,11.21,1.0,1.0,11.5,1,0,81.3,125.33748
532,Serbia,Rest of Europe,2014,5.7,6.6,116.691,7.19,92,91,26.0,93,93,0.02,5463,7.13,2.1,2.1,10.7,0,1,75.3,178.08243
533,India,Asia,2012,40.9,52.0,185.272,3.04,73,36,21.5,79,82,0.08,1347,1265.78,26.9,27.6,5.6,0,1,67.5,59.349743
534,Nicaragua,Central America and Caribbean,2013,18.0,21.1,152.7925,3.55,98,83,27.0,99,98,0.11,1916,6.06,1.8,1.7,6.4,0,1,73.2,15.522795
535,Japan,Asia,2011,2.3,3.2,64.2585,8.41,83,92,22.7,96,97,0.17,33011,127.83,1.9,1.6,11.8,1,0,82.6,106.624916
536,Bahrain,Middle East,2012,6.8,8.0,69.438,1.72,99,99,24.9,99,99,0.05,21188,1.3,6.1,6.0,8.8,0,1,76.3,24.4705
537,Mauritius,Africa,2003,13.8,16.0,164.979,4.02,97,81,24.7,99,99,1.16,6022,1.21,7.9,7.8,6.8,0,1,72.1,57.950676
538,Djibouti,Africa,2005,71.2,88.7,305.088,1.22,88,82,23.7,71,71,0.67,905,0.78,5.9,5.8,3.7,0,1,58.0,31.720613
539,Poland,European Union,2001,7.6,8.8,147.2585,7.74,95,96,25.5,98,98,0.08,7451,38.25,2.5,2.7,11.1,1,0,74.2,155.00189
540,Netherlands,European Union,2008,4.0,4.7,67.9805,9.51,88,93,25.4,97,97,0.06,45939,16.45,1.0,0.9,12.0,1,0,80.3,133.37785
541,Sweden,European Union,2003,3.2,3.9,67.2,6.88,60,95,25.4,99,99,0.08,43195,8.96,1.3,1.3,11.8,1,0,80.1,123.09275
542,Lebanon,Middle East,2014,7.4,8.6,61.5415,1.18,81,63,27.5,81,81,0.04,7938,6.26,4.8,4.9,8.4,0,1,78.7,94.51116
543,Finland,European Union,2012,2.3,2.8,79.341,9.27,88,92,26.0,99,99,0.08,43637,5.41,0.9,0.8,12.4,1,0,80.6,78.37442
544,Belarus,Rest of Europe,2004,7.3,9.4,245.7875,12.08,99,98,26.0,99,99,0.12,3522,9.73,2.4,2.5,9.2,0,1,69.0,215.48953
545,Czechia,European Union,2013,2.5,3.1,88.7525,12.54,99,99,27.0,99,98,0.08,16594,10.51,1.8,1.9,12.6,1,0,78.2,137.0944
546,Bhutan,Asia,2009,36.0,44.9,230.9395,0.15,93,79,23.2,93,93,0.15,2018,0.68,16.8,17.5,2.3,0,1,67.9,27.466053
547,Equatorial Guinea,Africa,2001,104.4,151.4,332.218,6.79,46,64,22.7,43,35,3.44,6983,0.63,1.6,1.4,5.4,0,1,53.6,15.21567
548,Montenegro,Rest of Europe,2002,11.4,12.9,138.1465,10.24,91,96,25.4,92,91,0.02,4529,0.61,2.5,2.5,10.3,0,1,73.2,184.88345
549,Albania,Rest of Europe,2011,10.8,12.1,80.349,5.03,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,0,1,76.9,110.32938
550,Kuwait,Middle East,2005,9.8,11.4,81.8995,0.013,99,77,28.7,99,99,0.13,39850,2.27,3.2,3.1,5.8,0,1,73.5,30.657883
551,"Gambia, The",Africa,2001,59.8,108.7,298.2375,3.28,91,64,22.1,85,87,1.71,747,1.36,1.0,1.0,2.1,0,1,56.4,22.520058
552,Kiribati,Oceania,2015,44.7,57.6,198.449,0.35,82,76,30.0,80,78,0.17,1535,0.11,0.1,0.1,7.9,0,1,67.3,138.41814
553,Burundi,Africa,2012,53.4,80.3,306.3965,4.33,96,59,21.4,96,96,0.4,319,9.25,7.5,7.5,2.7,0,1,58.6,12.071865
554,"Micronesia, Fed. Sts.",Oceania,2006,28.5,34.6,175.731,1.73,84,65,29.1,81,67,0.17,3042,0.11,0.2,0.2,6.3,0,1,65.7,88.8072
555,Angola,Africa,2007,90.6,147.0,297.0245,4.68,73,64,22.5,43,73,1.45,2845,20.91,9.6,9.6,4.5,0,1,52.2,22.0052
556,Israel,Middle East,2008,3.9,4.9,64.414,2.59,99,91,26.8,94,94,0.08,31718,7.31,1.1,1.1,12.6,1,0,81.0,50.602806
557,El Salvador,Central America and Caribbean,2013,14.4,16.8,187.4335,2.35,92,85,27.4,92,92,0.19,3591,6.27,1.6,1.6,6.6,0,1,71.9,16.198471
558,Montenegro,Rest of Europe,2006,8.4,9.7,128.5365,10.38,90,96,25.8,90,90,0.03,5436,0.62,2.2,2.2,10.7,0,1,73.8,192.9926
559,El Salvador,Central America and Caribbean,2007,19.2,22.6,203.491,2.73,99,86,26.8,99,99,0.27,3308,6.11,1.8,1.7,5.8,0,1,70.5,16.385798
560,United States,North America,2012,6.0,7.1,104.536,8.85,90,86,28.6,93,94,0.13,54213,313.88,0.7,0.6,13.3,1,0,78.7,107.10662
561,Bulgaria,European Union,2006,10.3,12.4,156.0375,10.18,96,93,25.7,96,95,0.02,5629,7.6,2.2,2.2,10.4,1,0,72.6,210.83138
562,Brazil,South America,2015,14.2,15.9,144.3625,6.63,96,80,26.5,98,96,0.24,8814,204.47,2.7,2.6,7.6,0,1,75.0,52.932545
563,Spain,European Union,2013,2.8,3.5,59.454,8.55,95,91,26.0,96,96,0.09,24361,46.62,0.6,0.5,9.5,1,0,83.1,97.47462
564,Guyana,South America,2015,27.4,33.1,209.372,5.48,95,95,26.3,92,95,0.59,5577,0.77,5.5,5.3,8.4,0,1,69.3,35.094154
565,Oman,Middle East,2001,13.3,15.4,126.257,0.54,99,99,25.5,99,99,0.05,21296,2.29,7.1,6.9,5.6,0,1,72.6,17.02908
566,Dominican Republic,Central America and Caribbean,2012,28.8,35.0,165.809,5.49,74,83,26.1,85,85,0.46,5969,9.93,3.3,3.2,7.5,0,1,72.5,32.482227
567,Dominican Republic,Central America and Caribbean,2012,28.8,35.0,165.809,5.49,74,83,26.1,85,85,0.46,5969,9.93,3.3,3.2,7.5,0,1,72.5,51.224823
568,Angola,Africa,2006,95.7,156.4,307.785,4.02,67,64,22.4,8,34,1.48,2589,20.15,9.8,9.7,4.5,0,1,51.1,22.331594
569,Cambodia,Asia,2000,79.2,106.3,259.469,0.6,84,48,20.7,62,59,0.81,487,12.16,11.6,11.9,3.2,0,1,58.4,82.40659
570,Ghana,Africa,2005,54.9,83.0,279.54,0.56,84,55,23.2,85,84,1.31,1176,21.81,8.1,8.1,6.4,0,1,58.7,13.096618
571,Canada,North America,2001,5.3,6.2,79.395,7.6,14,84,26.4,88,89,0.1,34227,31.02,0.5,0.4,11.2,1,0,79.3,114.26969
572,Japan,Asia,2000,3.3,4.5,72.954,7.96,83,86,22.5,98,85,0.17,31431,126.84,1.6,1.4,10.7,1,0,81.1,106.17058
573,Brazil,South America,2007,19.5,21.8,161.982,6.91,99,49,25.5,99,99,0.25,7937,190.13,3.1,3.0,6.5,0,1,72.6,55.835564
574,Saudi Arabia,Middle East,2002,16.7,19.6,105.2955,0.056,97,96,27.6,95,95,0.13,16095,21.81,7.3,7.3,7.0,0,1,72.9,22.905863
575,Mongolia,Asia,2011,20.6,24.4,225.0725,6.65,99,98,25.6,99,99,0.02,3028,2.77,2.2,2.3,9.8,0,1,67.8,77.32497
576,Dominican Republic,Central America and Caribbean,2011,28.8,35.0,167.619,5.47,80,83,26.0,84,84,0.49,5881,9.81,3.3,3.2,7.4,0,1,72.3,31.718275
577,Dominican Republic,Central America and Caribbean,2011,28.8,35.0,167.619,5.47,80,83,26.0,84,84,0.49,5881,9.81,3.3,3.2,7.4,0,1,72.3,49.6915
578,Brazil,South America,2014,14.6,16.3,146.3165,6.91,96,89,26.3,96,93,0.24,9215,202.76,2.7,2.7,7.4,0,1,74.7,52.55936
579,Ukraine,Rest of Europe,2013,8.8,10.2,201.674,8.73,46,54,26.4,72,76,0.24,2466,45.49,2.3,2.4,11.3,0,1,71.2,165.94066
580,Poland,European Union,2013,4.5,5.2,119.573,10.8,96,93,26.4,95,99,0.08,11656,38.04,2.0,2.1,12.1,1,0,77.0,140.20224
581,Ukraine,Rest of Europe,2009,10.6,12.3,230.8795,8.97,66,68,26.2,74,71,0.3,2215,46.05,2.5,2.6,11.3,0,1,69.2,189.60213
582,Costa Rica,Central America and Caribbean,2003,10.0,11.8,96.955,4.05,86,86,26.1,88,88,0.14,8158,4.16,2.2,2.1,7.9,0,1,77.9,30.13705
583,El Salvador,Central America and Caribbean,2000,27.4,33.2,220.1275,2.65,99,79,26.0,98,99,0.41,2993,5.89,2.1,2.0,5.2,0,1,68.9,14.431551
584,Chad,Africa,2014,77.3,132.3,365.883,0.68,37,64,21.8,44,37,0.42,780,13.66,8.7,8.5,2.2,0,1,52.8,12.696616
585,Tonga,Oceania,2007,12.0,14.0,147.075,2.05,87,99,31.7,99,87,0.17,3817,0.1,0.1,0.1,9.8,0,1,69.9,79.21655
586,Somalia,Africa,2010,96.2,157.4,326.1265,0.0,42,64,22.8,49,45,0.13,296,12.04,7.0,6.8,2.1,0,1,54.0,20.425533
587,China,Asia,2015,8.3,10.7,82.273,5.66,99,99,23.7,99,99,0.1,8016,1379.86,3.6,2.9,7.7,0,1,75.9,148.97304
588,Albania,Rest of Europe,2002,21.7,24.4,87.182,3.96,96,93,25.3,98,98,0.02,2247,3.05,2.0,2.1,9.0,0,1,74.6,87.63342
589,Uruguay,South America,2007,11.0,12.6,115.7035,6.51,94,92,26.4,94,94,0.2,11245,3.33,1.6,1.5,8.2,0,1,76.3,107.77927
590,Russian Federation,Rest of Europe,2006,10.3,12.8,292.2095,11.83,98,97,26.0,98,98,0.08,7950,143.05,2.4,2.7,11.4,0,1,66.7,209.37263
591,Cyprus,European Union,2010,2.8,3.4,57.4125,11.33,96,88,26.7,99,99,0.06,26020,1.11,0.9,1.0,11.5,1,0,79.4,87.32392
592,Eritrea,Africa,2015,34.0,46.3,255.781,1.03,95,88,20.7,95,95,0.1,9011,0.35,8.4,8.2,3.9,0,1,64.7,16.279396
593,Panama,Central America and Caribbean,2002,20.9,24.8,124.3705,4.94,98,88,25.8,99,99,0.4,6881,3.15,2.3,2.2,8.7,0,1,75.4,22.982256
594,"Bahamas, The",Central America and Caribbean,2001,14.0,16.4,187.537,11.38,90,83,26.8,98,99,0.9,36178,0.3,2.7,2.6,10.9,0,1,72.0,25.361818
595,"Yemen, Rep.",Middle East,2007,50.0,65.6,244.445,0.05,79,95,23.0,79,79,0.02,2555,21.28,13.8,13.8,2.2,0,1,64.5,37.830143
596,Panama,Central America and Caribbean,2004,20.0,23.5,124.7005,4.97,95,89,26.0,92,95,0.4,7427,3.27,2.2,2.1,8.9,0,1,75.7,22.373575
597,Guinea,Africa,2007,79.4,126.6,304.0,0.19,57,64,22.4,46,63,1.03,684,9.52,8.9,8.8,1.6,0,1,54.9,21.727041
598,Kuwait,Middle East,2015,7.5,8.8,58.1365,0.0,99,96,29.5,99,99,0.13,29870,3.84,3.5,3.4,7.1,0,1,75.1,25.486963
599,Finland,European Union,2002,3.3,4.1,97.1345,9.25,88,92,25.8,95,98,0.08,39351,5.2,0.9,0.8,9.5,1,0,78.1,90.30117
600,Croatia,European Union,2007,5.3,6.2,106.427,11.36,95,98,26.3,96,96,0.02,12550,4.31,1.8,1.7,10.1,1,0,75.7,188.3714
601,St. Lucia,Central America and Caribbean,2004,15.8,18.3,163.506,12.58,91,83,27.6,91,91,0.4,9800,0.16,4.4,4.4,7.4,0,1,74.0,34.27347
602,Burkina Faso,Africa,2001,89.3,174.9,325.735,5.53,86,31,21.0,62,62,0.83,456,11.94,11.2,1.8,1.3,0,1,50.9,9.0823145
603,United States,North America,2009,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4,110.73661
604,Cabo Verde,Africa,2010,22.1,26.3,133.3605,4.93,98,94,24.2,99,99,0.26,3011,0.49,7.4,7.4,5.1,0,1,71.1,11.574054
605,Poland,European Union,2004,6.8,7.8,142.2675,9.19,98,96,25.7,99,99,0.08,8275,38.18,2.4,2.5,11.6,1,0,74.8,151.39674
606,Canada,North America,2015,4.7,5.4,65.9695,8.0,55,86,26.9,91,91,0.1,43596,35.7,0.6,0.5,13.1,1,0,81.9,91.40423
607,Ethiopia,Africa,2005,69.5,108.9,338.17,0.21,52,64,20.1,56,44,0.65,310,76.35,11.5,11.2,1.9,0,1,56.2,7.2718444
608,"Venezuela, RB",South America,2010,14.7,17.1,148.2105,7.4,78,83,26.6,74,78,0.4,13825,28.44,1.6,1.5,8.9,0,1,73.1,29.96142
609,Namibia,Africa,2014,34.0,47.9,328.32,2.59,88,64,24.1,88,88,4.5,4782,2.27,8.6,8.5,6.7,0,1,61.4,37.304787
610,Ukraine,Rest of Europe,2010,10.1,11.7,213.7115,7.77,48,41,26.3,57,52,0.28,2315,45.87,2.4,2.5,11.3,0,1,70.3,180.45515
611,Equatorial Guinea,Africa,2009,81.7,115.3,332.154,7.2,46,64,23.4,59,43,4.39,15906,0.9,9.2,9.2,5.5,0,1,55.3,10.440002
612,Mongolia,Asia,2010,22.1,26.3,230.153,7.73,96,95,25.4,96,96,0.02,2630,2.72,2.2,2.3,9.5,0,1,67.4,77.08925
613,United States,North America,2001,7.0,8.3,114.2395,8.25,89,86,27.7,89,94,0.13,48727,284.97,0.8,0.6,12.7,1,0,76.8,128.36984
614,Belarus,Rest of Europe,2002,8.5,10.9,260.3945,11.78,99,98,25.8,99,99,0.08,2912,9.87,2.5,2.7,9.1,0,1,68.1,225.99069
615,Myanmar,Asia,2011,47.0,61.0,204.845,1.09,40,80,22.2,90,84,0.32,963,50.99,13.0,13.3,4.3,0,1,64.0,90.51204
616,Grenada,Central America and Caribbean,2015,14.3,16.2,141.3,8.2,92,89,26.9,99,92,0.4,9097,0.11,3.8,3.8,8.7,0,1,72.4,30.40364
617,Nigeria,Africa,2002,103.8,171.5,411.5985,11.09,29,64,22.5,40,25,1.21,1685,128.6,13.8,13.8,5.2,0,1,46.8,8.253268
618,China,Asia,2007,16.2,20.1,99.551,3.89,92,92,22.9,94,93,0.1,4319,1317.89,4.7,4.1,7.0,0,1,73.6,134.93675
619,"Venezuela, RB",South America,2011,14.7,17.2,147.169,6.88,78,83,26.6,78,78,0.4,10956,28.89,1.6,1.5,9.8,0,1,73.1,29.867664
620,Antigua and Barbuda,Central America and Caribbean,2009,8.7,10.6,139.537,7.64,98,94,26.0,98,99,0.1,15402,0.09,3.4,3.3,9.3,0,1,75.7,24.480404
621,Timor-Leste,Oceania,2008,56.0,67.7,171.0075,0.062,79,64,20.5,79,79,0.07,1020,1.06,11.7,11.7,4.0,0,1,66.3,45.131607
622,Afghanistan,Asia,2006,74.6,104.1,271.4905,0.026,64,18,22.3,58,58,0.02,354,26.43,19.2,19.3,2.7,0,1,58.8,32.077854
623,Peru,South America,2009,16.2,20.8,134.0135,5.04,93,42,25.9,92,93,0.16,4819,28.79,1.2,1.2,8.4,0,1,74.1,13.989088
624,Guyana,South America,2011,30.0,36.7,215.255,5.64,93,84,25.9,93,93,0.62,5089,0.75,5.6,5.3,8.2,0,1,68.3,34.476295
625,Senegal,Africa,2010,42.4,65.7,211.9,0.18,89,33,22.7,76,89,0.19,1150,12.68,1.4,1.3,2.4,0,1,64.3,13.064354
626,"Egypt, Arab Rep.",Africa,2011,23.1,27.5,157.823,0.19,96,64,28.9,96,96,0.13,3473,84.53,2.9,2.9,6.7,0,1,70.5,60.93262
627,Angola,Africa,2001,118.2,198.4,361.129,1.94,67,64,21.8,28,38,1.36,1847,16.95,1.7,1.7,4.4,0,1,47.1,25.366804
628,Italy,European Union,2014,3.0,3.6,51.776,7.56,95,83,25.6,95,95,0.07,29980,60.79,0.6,0.6,10.1,1,0,83.1,99.066605
629,Slovak Republic,European Union,2011,5.6,6.8,120.157,10.27,99,97,26.1,99,99,0.01,14890,5.4,1.2,1.3,12.1,1,0,76.0,112.33055
630,Algeria,Africa,2013,22.1,25.8,98.739,0.5,95,93,25.3,95,95,0.03,4043,38.14,5.9,5.8,7.8,0,1,75.7,34.389896
631,United Kingdom,Rest of Europe,2005,5.1,6.0,79.5075,11.38,88,86,26.7,91,91,0.08,43137,60.4,0.7,0.5,12.2,1,0,79.0,151.3426
632,El Salvador,Central America and Caribbean,2003,23.5,28.1,213.592,2.91,94,77,26.4,93,94,0.35,3060,5.99,2.0,1.9,5.7,0,1,69.7,14.590974
633,Cameroon,Africa,2009,71.1,114.3,365.4865,5.72,80,64,23.9,79,80,2.13,1247,19.79,6.3,6.3,5.2,0,1,54.6,15.376036
634,Albania,Rest of Europe,2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1,78.0,133.82886
635,Cameroon,Africa,2014,59.5,92.4,345.615,4.7,87,64,24.2,84,87,1.24,1344,22.68,5.7,5.7,6.0,0,1,57.1,13.081121
636,Lesotho,Africa,2015,72.6,94.6,513.4755,3.07,93,82,24.9,85,93,10.0,1146,2.06,5.5,5.3,6.1,0,1,51.0,107.806145
637,Rwanda,Africa,2004,72.8,118.6,368.1215,7.83,89,87,21.2,89,89,2.27,425,8.68,6.9,7.1,2.7,0,1,53.6,34.927017
638,Switzerland,Rest of Europe,2005,4.3,5.1,65.1225,10.15,88,71,25.0,94,94,0.08,76785,7.44,0.6,0.4,12.0,1,0,81.2,97.619576
639,Mozambique,Africa,2010,72.5,104.9,382.0835,0.79,74,64,22.3,73,74,3.5,480,23.53,3.7,3.6,3.2,0,1,52.3,24.184967
640,Cambodia,Asia,2002,67.3,86.7,243.8905,0.75,84,48,20.8,54,54,0.51,539,12.64,11.6,11.8,3.3,0,1,60.3,81.596535
641,Liberia,Africa,2006,85.3,121.0,294.2555,4.06,58,64,23.5,66,60,3.5,578,3.33,8.1,8.1,3.8,0,1,56.4,10.549907
642,Suriname,South America,2003,24.9,28.2,207.3055,4.7,84,16,25.6,74,75,0.96,6816,0.49,3.5,3.5,7.7,0,1,68.3,55.024307
643,Namibia,Africa,2001,44.2,75.3,470.342,2.29,83,64,23.0,79,78,11.07,3111,1.82,15.2,15.4,5.8,0,1,51.4,52.89941
644,Uganda,Africa,2013,42.4,62.3,321.4315,8.12,78,64,22.2,78,78,2.45,821,35.69,5.7,5.7,5.4,0,1,59.9,10.45895
645,Nepal,Asia,2008,40.1,50.8,186.7545,0.2,82,65,21.6,82,82,0.17,675,26.67,17.0,17.6,3.1,0,1,66.7,70.098946
646,Saudi Arabia,Middle East,2015,7.8,9.1,87.974,0.0,98,96,28.4,97,98,0.13,20628,31.72,7.8,7.6,9.5,0,1,74.7,26.675694
647,India,Asia,2015,34.9,43.5,177.9465,3.0,87,69,21.7,86,87,0.06,1606,1310.15,26.7,27.3,6.3,0,1,68.6,59.512596
648,Czechia,European Union,2012,2.6,3.2,92.0385,12.83,99,99,26.9,99,99,0.08,16607,10.51,1.8,1.9,12.4,1,0,78.1,138.37227
649,Luxembourg,European Union,2002,3.3,4.0,98.426,12.88,95,86,25.7,99,99,0.07,96270,0.45,1.0,0.9,10.7,1,0,78.0,114.12783
650,Cameroon,Africa,2010,68.6,110.1,362.5215,5.88,84,64,24.0,83,84,1.87,1248,20.34,6.1,6.2,5.3,0,1,55.1,14.927882
651,Cyprus,European Union,2004,4.1,4.8,64.721,13.03,88,91,26.5,98,98,0.04,24798,1.01,0.9,1.0,10.5,1,0,78.5,91.01442
652,Montenegro,Rest of Europe,2009,6.3,7.4,118.42,10.17,87,96,26.0,91,92,0.03,5834,0.62,2.0,2.1,11.0,0,1,75.1,186.84128
653,Peru,South America,2007,18.2,23.4,137.505,4.51,93,51,25.7,93,93,0.18,4439,28.33,1.2,1.2,8.1,0,1,73.5,12.621155
654,Djibouti,Africa,2002,76.5,96.1,323.2315,1.11,88,82,23.6,62,62,1.78,791,0.75,6.2,6.0,3.4,0,1,57.2,31.594357
655,Colombia,South America,2013,14.3,16.6,142.829,4.32,91,72,26.0,91,91,0.2,5867,46.5,2.1,1.9,7.8,0,1,76.1,20.207144
656,Indonesia,Asia,2012,25.9,31.2,181.1225,0.08,83,78,22.7,87,83,0.2,2981,248.45,1.5,1.4,7.6,0,1,69.9,74.4791
657,South Africa,Africa,2004,49.4,77.7,501.4985,7.2,76,51,26.5,73,74,11.64,5374,47.29,12.6,15.0,8.8,0,1,53.4,63.42025
658,Lithuania,European Union,2015,4.0,4.9,165.233,14.2,94,92,26.4,93,93,0.09,14264,2.9,2.6,2.6,13.0,1,0,74.3,146.55319
659,Czechia,European Union,2004,3.7,4.6,114.2985,13.42,98,98,26.6,96,98,0.08,14070,10.2,2.1,2.2,11.6,1,0,75.7,152.4568
660,Italy,European Union,2008,3.5,4.1,60.1245,7.96,96,83,25.7,96,96,0.08,33530,58.83,0.5,0.5,9.5,1,0,81.5,110.31373
661,New Zealand,Oceania,2011,5.0,6.0,70.233,9.45,95,86,27.7,95,95,0.04,35916,4.38,0.3,0.3,12.0,1,0,80.9,69.335655
662,Nigeria,Africa,2010,84.3,135.5,376.179,5.22,49,64,23.0,54,54,0.75,2404,158.5,11.3,11.2,5.2,0,1,50.9,5.8050475
663,Thailand,Asia,2010,11.7,13.6,160.1755,6.19,98,91,23.8,99,99,0.23,5164,67.2,8.2,8.3,7.7,0,1,74.2,68.52771
664,Bulgaria,European Union,2008,9.5,11.4,148.4445,10.73,96,94,25.8,96,95,0.03,6460,7.49,2.1,2.1,10.5,1,0,73.0,198.38242
665,Central African Republic,Africa,2004,106.9,162.5,532.8745,1.6,45,64,21.9,45,51,3.09,459,3.96,9.9,9.9,3.2,0,1,44.4,29.49049
666,Honduras,Central America and Caribbean,2001,29.0,35.3,169.61,2.61,95,83,24.9,99,96,0.43,1791,6.75,2.7,2.7,4.4,0,1,71.0,24.14494
667,Haiti,Central America and Caribbean,2008,61.3,83.2,271.8455,3.49,60,83,24.3,64,63,0.95,1339,9.65,4.2,4.2,4.6,0,1,59.8,18.099169
668,Austria,European Union,2013,3.2,3.9,67.3475,12.1,95,82,25.5,95,95,0.08,44299,8.48,1.8,2.0,11.9,1,0,81.1,101.46528
669,Dominican Republic,Central America and Caribbean,2000,32.4,40.0,186.951,6.72,68,83,24.9,71,78,1.02,4209,8.47,3.8,3.7,6.4,0,1,69.4,30.167456
670,Dominican Republic,Central America and Caribbean,2000,32.4,40.0,186.951,6.72,68,83,24.9,71,78,1.02,4209,8.47,3.8,3.7,6.4,0,1,69.4,41.702934
671,Djibouti,Africa,2003,74.7,93.6,317.1835,0.52,88,82,23.6,68,68,1.16,819,0.76,6.1,5.9,3.5,0,1,57.4,30.984251
672,Rwanda,Africa,2001,100.0,167.4,432.824,9.27,91,87,21.0,76,77,2.9,361,8.23,7.4,7.5,2.4,0,1,49.9,43.859604
673,Ghana,Africa,2013,41.8,59.8,251.5445,1.78,90,54,23.8,91,90,0.88,1768,26.61,6.6,6.4,6.9,0,1,62.1,14.3208
674,Malta,European Union,2005,6.1,7.0,59.577,6.14,85,60,27.1,94,92,0.08,18134,0.4,0.7,0.7,9.8,1,0,79.3,87.02043
675,Chile,South America,2003,8.1,9.5,103.6575,6.37,94,96,26.9,96,96,0.14,9233,15.85,1.0,1.0,9.4,0,1,77.1,36.01844
676,Saudi Arabia,Middle East,2013,8.8,10.2,90.265,0.0,98,99,28.3,98,98,0.13,20176,30.05,7.6,7.5,9.5,0,1,74.4,26.521643
677,Colombia,South America,2014,13.8,16.0,141.448,4.22,90,88,26.0,90,90,0.19,6069,46.97,2.1,1.9,8.0,0,1,76.3,19.65815
678,St. Vincent and the Grenadines,Central America and Caribbean,2007,18.7,21.1,167.402,6.2,99,83,26.3,99,99,0.4,7154,0.11,3.6,3.6,8.1,0,1,71.6,26.56234
679,Namibia,Africa,2003,43.3,74.4,495.7265,2.29,83,64,23.2,82,79,9.74,3298,1.88,14.2,14.3,5.8,0,1,50.6,53.256676
680,Togo,Africa,2003,69.9,109.5,333.358,0.89,81,64,22.4,72,72,2.13,522,5.33,8.8,8.7,4.1,0,1,53.9,24.282259
681,"Yemen, Rep.",Middle East,2014,45.4,58.7,223.9525,0.03,73,95,23.6,67,73,0.03,2283,25.82,13.7,13.5,3.0,0,1,66.1,35.826847
682,Bosnia and Herzegovina,Rest of Europe,2012,5.8,6.7,100.353,4.83,92,94,25.5,87,92,0.08,4216,3.6,2.5,2.5,8.3,0,1,76.4,176.72975
683,St. Lucia,Central America and Caribbean,2014,19.0,21.4,138.0705,9.18,99,83,29.6,99,99,0.4,10280,0.18,4.3,4.3,8.7,0,1,75.4,31.055721
684,Maldives,Asia,2002,25.5,30.7,117.6445,1.82,98,69,23.4,98,98,0.17,6832,0.29,14.6,14.7,3.2,0,1,71.7,43.7402
685,Armenia,Rest of Europe,2013,14.0,15.6,128.387,3.92,95,97,26.2,96,95,0.08,3407,2.9,2.1,2.1,11.4,0,1,74.1,136.5272
686,Uganda,Africa,2005,65.6,107.1,441.99,11.3,64,64,21.6,59,64,3.78,610,27.68,6.5,6.5,4.4,0,1,51.7,14.616411
687,Cyprus,European Union,2009,3.0,3.5,58.8095,10.81,96,88,26.7,99,99,0.05,26182,1.1,0.9,1.0,11.3,1,0,79.2,87.68606
688,Afghanistan,Asia,2002,85.3,121.1,298.8855,0.02,64,14,21.9,36,36,0.02,320,22.6,19.9,2.2,2.3,0,1,56.8,37.603424
689,Tonga,Oceania,2008,11.8,13.7,145.4525,1.1,84,98,31.7,99,86,0.17,3967,0.1,0.1,0.1,10.1,0,1,69.9,79.91286
690,Zimbabwe,Africa,2003,50.4,91.6,703.0,1.96,70,64,23.4,70,68,10.27,1291,11.98,9.8,9.9,6.8,0,1,43.2,55.689274
691,Luxembourg,European Union,2000,3.7,4.5,100.072,13.21,77,86,25.6,99,99,0.06,92528,0.44,1.0,1.0,10.3,1,0,77.9,118.057846
692,Antigua and Barbuda,Central America and Caribbean,2010,8.3,10.0,137.808,7.16,98,92,26.1,99,98,0.1,13987,0.09,3.3,3.3,9.2,0,1,75.8,24.347809
693,Burkina Faso,Africa,2004,83.3,159.5,311.4595,5.51,86,31,21.3,83,79,0.63,491,13.03,1.5,1.1,1.3,0,1,52.6,8.235857
694,St. Lucia,Central America and Caribbean,2006,16.1,18.6,154.8585,13.02,85,83,28.0,85,85,0.4,10141,0.17,4.3,4.4,7.6,0,1,74.3,32.619835
695,Solomon Islands,Oceania,2006,24.1,28.9,190.4555,1.01,99,65,25.4,99,99,0.17,1871,0.48,1.3,1.3,4.9,0,1,69.5,68.466
696,Turkmenistan,Asia,2015,36.4,42.2,189.928,3.36,99,99,26.4,99,99,0.08,6433,5.57,3.3,3.3,9.8,0,1,67.7,54.789516
697,Qatar,Middle East,2005,8.9,10.4,63.957,1.08,97,98,28.0,98,97,0.05,57624,0.87,4.8,4.5,8.8,0,1,78.3,24.143206
698,Nigeria,Africa,2005,95.0,155.0,397.18,11.24,18,64,22.7,45,36,1.05,1948,138.87,12.9,12.9,5.2,0,1,48.3,7.185371
